DocNo,DocDate,DebtorCode,RefDocNo,ShipInfo,UDF_Connum,UDF_RemarksA,UDF_RemarksB,UDF_RemarksC,UDF_RemarksD,UDF_RemarksE,UDF_RemarksF,ItemCode,Description,FurtherDescription,AccNo,Quantity,UnitAmount,UOM,TaxType
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,23/Jan/2021,5 Jalan Tepong,MSC LENI FJ052W,1 X 40RF SUDU5193010,,,t40,Truck 1x40' FCL Container,,5000/000,1.0000,2.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,23/Jan/2021,5 Jalan Tepong,MSC LENI FJ052W,1 X 40RF SUDU5193010,,,dhc,Depot Handling Charge - CWT PIONEER,,5001/000,1.0000,25.0000,UNIT,ZR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,23/Jan/2021,5 Jalan Tepong,MSC LENI FJ052W,1 X 40RF SUDU5193010,,,cnf,Cont. Notification & Admin Fees - CWT PIONEER,,5000/000,1.0000,1.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,23/Jan/2021,5 Jalan Tepong,MSC LENI FJ052W,1 X 40RF SUDU5193010,,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,23/Jan/2021,5 Jalan Tepong,MSC LENI FJ052W,1 X 40RF SUDU5193010,,,p40,PSA LOLO 40 Charge,,5001/000,1.0000,2.0000,UNIT,ZR
