DocNo,DocDate,DebtorCode,RefDocNo,ShipInfo,UDF_Connum,UDF_RemarkA,UDF_RemarkB,UDF_RemarkC,UDF_RemarkD,UDF_RemarkE,UDF_RemarkF,ItemCode,Description,Further Description,Sales Code,Quantity,UnitAmount,UOM,TaxType
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,Job Date : 23/Jan/2021,Location : 5 Jalan Tepong,Vessel/Voyage : MSC LENI FJ052W,Container Size : 1 X 40RF SUDU5193010,Description : FROZEN ATLANTIC SALMON,,t40,Truck 1x40' FCL Container,,5000/000,1.0000,2.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,Job Date : 23/Jan/2021,Location : 5 Jalan Tepong,Vessel/Voyage : MSC LENI FJ052W,Container Size : 1 X 40RF SUDU5193010,Description : FROZEN ATLANTIC SALMON,,dhc,Depot Handling Charge - CWT PIONEER,,5001/000,1.0000,25.0000,UNIT,ZR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,Job Date : 23/Jan/2021,Location : 5 Jalan Tepong,Vessel/Voyage : MSC LENI FJ052W,Container Size : 1 X 40RF SUDU5193010,Description : FROZEN ATLANTIC SALMON,,cnf,Cont. Notification & Admin Fees - CWT PIONEER,,5000/000,1.0000,1.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,Job Date : 23/Jan/2021,Location : 5 Jalan Tepong,Vessel/Voyage : MSC LENI FJ052W,Container Size : 1 X 40RF SUDU5193010,Description : FROZEN ATLANTIC SALMON,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,SR
,02/Feb/2021,3000/EAS9,I21020001,J000479,SUDU5193010,Job Date : 23/Jan/2021,Location : 5 Jalan Tepong,Vessel/Voyage : MSC LENI FJ052W,Container Size : 1 X 40RF SUDU5193010,Description : FROZEN ATLANTIC SALMON,,p40,PSA LOLO 40 Charge,,5001/000,1.0000,2.0000,UNIT,ZR
,03/Feb/2021,3000/EAS9,I21020002,J000454,SZLU9447522,Job Date : 14/Jan/2021,Location : 3 Mandai Link,Vessel/Voyage : NYK FUJI 103N,Container Size : 1 X 40RF SZLU9447522,Description : 2441ctns fzn seafood,,t40,Truck 1x40' FCL Container,,5000/000,1.0000,2.0000,UNIT,SR
,03/Feb/2021,3000/EAS9,I21020002,J000454,SZLU9447522,Job Date : 14/Jan/2021,Location : 3 Mandai Link,Vessel/Voyage : NYK FUJI 103N,Container Size : 1 X 40RF SZLU9447522,Description : 2441ctns fzn seafood,,pc-t,Portnet Charge,,5000/000,1.0000,1.0000,UNIT,SR
,03/Feb/2021,3000/EAS9,I21020002,J000454,SZLU9447522,Job Date : 14/Jan/2021,Location : 3 Mandai Link,Vessel/Voyage : NYK FUJI 103N,Container Size : 1 X 40RF SZLU9447522,Description : 2441ctns fzn seafood,,p40,PSA LOLO 40 Charge,,5001/000,1.0000,2.0000,UNIT,ZR
